Date, Open, High, Low, Close
02/23/23, 33175.39, 33272.40, 32795.67, 33153.91
02/22/23, 33169.33, 33245.97, 32948.27, 33045.09
02/21/23, 33699.69, 33699.69, 33115.74, 33129.59
02/17/23, 33677.01, 33846.64, 33517.73, 33826.69
02/16/23, 33992.09, 34041.16, 33686.59, 33696.85
